Sample_ID,Protein_1,Protein_2,Protein_3,Protein_4,Protein_5,Protein_6,Protein_7,Protein_8,Protein_9,Protein_10
Sample_1,8.45,12.67,15.23,9.78,11.34,13.89,7.56,14.12,10.98,16.45
Sample_2,9.12,11.89,14.67,10.34,12.78,14.23,8.91,13.45,11.67,15.89
Sample_3,7.89,13.45,16.12,8.67,10.89,15.34,6.78,15.67,9.45,17.23
Sample_4,10.67,12.34,13.78,11.23,13.45,12.67,9.34,14.89,12.56,14.78
Sample_5,8.78,14.12,15.89,9.45,11.67,14.56,7.89,13.78,10.23,16.12
Sample_6,9.34,11.56,14.23,10.78,12.34,13.67,8.45,15.23,11.89,15.45
Sample_7,8.12,13.78,16.45,8.89,10.56,15.12,7.23,14.67,9.78,17.89
Sample_8,9.89,12.23,13.56,11.45,13.12,12.89,9.67,13.34,12.78,14.23
Sample_9,7.67,14.45,15.67,8.34,11.23,14.78,6.89,16.12,9.56,16.78
Sample_10,10.23,11.78,14.89,10.67,12.89,13.45,8.78,14.56,11.34,15.67
